ds,GHI_A_DATA_Avg,POA_A_DATA_2_Avg,AirTC_Avg_Degree Celcius,RH_%,POA_A_DATA_3_Avg,WS_Avg_km/h,T110PV_C_Avg_Degree Celcius
11/21/2024 6:05:00 PM,3.24260630139322,-20.0630009468664,33.2797015066141,24.4974603131386,-23.9799255451746,-19.3602279401615,35.9603880391178
11/21/2024 6:06:00 PM,1.33506221115208,-22.2196277426927,33.242410189913,24.5751032245098,-26.0354207766255,-19.4025792632087,35.8603247803877
11/21/2024 6:07:00 PM,-0.55050499253825,-24.3523076877974,33.2050668008357,24.6528906142575,-28.0671785869687,-19.4448480516091,35.7607455792509
11/21/2024 6:08:00 PM,-2.41403707443595,-26.4609557196834,33.1676745945253,24.7308150186938,-30.075130289597,-19.4870300786515,35.6616567724209
11/21/2024 6:09:00 PM,-4.25547928341288,-28.5454905789464,33.1302368218014,24.8088689767625,-32.0592109133298,-19.5291211443577,35.5630646148236
11/21/2024 6:10:00 PM,-6.0747803512796,-30.6058348139364,33.0927567285712,24.8870450365714,-34.0193592049497,-19.5711170755176,35.4649752790249
11/21/2024 6:11:00 PM,-7.87189247464537,-32.6419147655716,33.0552375558005,24.9653357498573,-35.955517610807,-19.6130137271513,35.3673948550914
11/21/2024 6:12:00 PM,-9.64677137008294,-34.6536606356566,33.0176825373929,25.0437336817803,-37.8676323395297,-19.654806984002,35.2703293468236
11/21/2024 6:13:00 PM,-11.3993762416641,-36.6410064560633,32.9800949010758,25.12223140636,-39.7556533307523,-19.6964927602795,35.173784672841
11/21/2024 6:14:00 PM,-13.1296698103568,-38.6038901274714,32.9424778665079,25.2008215102882,-41.6195342875402,-19.7380670020888,35.0777666636507
11/21/2024 6:15:00 PM,-14.8376183450454,-40.5422534607395,32.9048346443112,25.2794965988387,-43.4592327144877,-19.7795256878698,34.9822810593829
11/21/2024 6:16:00 PM,-16.5231915794527,-42.4560420882548,32.8671684375269,25.3582492878333,-45.2747098296054,-19.8208648282942,34.8873335132117
11/21/2024 6:17:00 PM,-18.1863628382909,-44.3452056131117,32.8294824378127,25.4370722168007,-47.0659307040026,-19.8620804692163,34.7929295834988
